plaatsnaam,gemeente
Winsum,Waadhoeke
Húns,Leeuwarden
Leons,Leeuwarden
Baard,Leeuwarden
Easterlittens,Leeuwarden
Baaium,Waadhoeke
Wjelsryp,Waadhoeke
Spannum,Waadhoeke
Hinnaard,Súdwest-Fryslân
Waaksens,Súdwest-Fryslân
Tzummarum,Waadhoeke
Firdgum,Waadhoeke
Klooster Lidlum,Waadhoeke
Oosterbierum,Waadhoeke
Sexbierum,Waadhoeke
Pietersbierum,Waadhoeke
Wijnaldum,Harlingen
Harlingen,Harlingen
Midlum,Harlingen
West-Terschelling,Terschelling
Hee,Terschelling
Kaard,Terschelling
Baaiduinen,Terschelling
Kinnum,Terschelling
Midsland,Terschelling
Striep,Terschelling
Landerum,Terschelling
Formerum,Terschelling
Lies,Terschelling
Hoorn,Terschelling
Oosterend,Terschelling
Vlieland,Vlieland
Leeuwarden,Leeuwarden
Hempens,Leeuwarden
Grou,Leeuwarden
Warten,Leeuwarden
Warstiens,Leeuwarden
Wergea,Leeuwarden
Eagum,Leeuwarden
Idaerd,Leeuwarden
Reduzum,Leeuwarden
Friens,Leeuwarden
Jirnsum,Leeuwarden
Raerd,Súdwest-Fryslân
Poppenwier,Súdwest-Fryslân
Tersoal,Súdwest-Fryslân
Easterwierrum,Súdwest-Fryslân
Mantgum,Leeuwarden
Jorwert,Leeuwarden
Weidum,Leeuwarden
Bears,Leeuwarden
Jellum,Leeuwarden
Hilaard,Leeuwarden
Boksum,Waadhoeke
Blessum,Waadhoeke
Deinum,Waadhoeke
Marsum,Waadhoeke
Dronryp,Waadhoeke
Menaam,Waadhoeke
Slappeterp,Waadhoeke
Ingelum,Waadhoeke
Berltsum,Waadhoeke
Wier,Waadhoeke
Bitgum,Waadhoeke
Bitgummole,Waadhoeke
Minnertsga,Waadhoeke
Stiens,Leeuwarden
Feinsum,Leeuwarden
Hijum,Leeuwarden
Britsum,Leeuwarden
Koarnjum,Leeuwarden
Jelsum,Leeuwarden
Gytsjerk,Tytsjerksteradiel
Oentsjerk,Tytsjerksteradiel
Mûnein,Tytsjerksteradiel
Aldtsjerk,Tytsjerksteradiel
Readtsjerk,Dantumadiel
Alde Leie,Leeuwarden
Nij Altoenae,Waadhoeke
Marrum,Noardeast-Fryslân
Hallum,Noardeast-Fryslân
Westhoek,Waadhoeke
St.-Annaparochie,Waadhoeke
Vrouwenparochie,Waadhoeke
Oudebildtzijl,Waadhoeke
St.-Jacobiparochie,Waadhoeke
Lekkum,Leeuwarden
Miedum,Leeuwarden
Snakkerburen,Leeuwarden
Goutum,Leeuwarden
Teerns,Leeuwarden
Swichum,Leeuwarden
Wirdum,Leeuwarden
Wytgaard,Leeuwarden
Wyns,Tytsjerksteradiel
Dokkum,Noardeast-Fryslân
Damwâld,Dantumadiel
Rinsumageast,Dantumadiel
Sibrandahûs,Dantumadiel
Jannum,Noardeast-Fryslân
Broeksterwâld,Dantumadiel
De Falom,Dantumadiel
Burdaard,Noardeast-Fryslân
Wâlterswâld,Dantumadiel
Driezum,Dantumadiel
Aalsum,Noardeast-Fryslân
Wetsens,Noardeast-Fryslân
Metslawier,Noardeast-Fryslân
Jouswier,Noardeast-Fryslân
Oostrum,Noardeast-Fryslân
Ee,Noardeast-Fryslân
Engwierum,Noardeast-Fryslân
Anjum,Noardeast-Fryslân
Lioessens,Noardeast-Fryslân
Morra,Noardeast-Fryslân
Paesens,Noardeast-Fryslân
Oosternijkerk,Noardeast-Fryslân
Niawier,Noardeast-Fryslân
Wierum,Noardeast-Fryslân
Moddergat,Noardeast-Fryslân
Nes,Noardeast-Fryslân
Hantumhuizen,Noardeast-Fryslân
Ternaard,Noardeast-Fryslân
Hantumeruitburen,Noardeast-Fryslân
Hantum,Noardeast-Fryslân
Hiaure,Noardeast-Fryslân
Holwerd,Noardeast-Fryslân
Waaxens,Noardeast-Fryslân
Brantgum,Noardeast-Fryslân
Foudgum,Noardeast-Fryslân
Raard,Noardeast-Fryslân
Bornwird,Noardeast-Fryslân
Hollum,Ameland
Ballum,Ameland
Nes,Ameland
Buren,Ameland
Schiermonnikoog,Schiermonnikoog
Blije,Noardeast-Fryslân
Ferwert,Noardeast-Fryslân
Hegebeintum,Noardeast-Fryslân
Ginnum,Noardeast-Fryslân
Reitsum,Noardeast-Fryslân
Lichtaard,Noardeast-Fryslân
Jislum,Noardeast-Fryslân
Wânswert,Noardeast-Fryslân
Drachten,Smallingerland
Kortehemmen,Smallingerland
Boornbergum,Smallingerland
De Wilgen,Smallingerland
Smalle Ee,Smallingerland
De Veenhoop,Smallingerland
Oudega,Smallingerland
Nijega,Smallingerland
Opeinde,Smallingerland
De Tike,Smallingerland
Rottevalle,Smallingerland
Drachtstercompagnie,Smallingerland
Houtigehage,Smallingerland
Surhuisterveen,Achtkarspelen
Boelenslaan,Achtkarspelen
Wijnjewoude,Opsterland
Bakkeveen,Opsterland
Beetsterzwaag,Opsterland
Nij Beets,Opsterland
Olterterp,Opsterland
Ureterp,Opsterland
Siegerswoude,Opsterland
Frieschepalen,Opsterland
Burgum,Tytsjerksteradiel
Hurdegaryp,Tytsjerksteradiel
Tytsjerk,Tytsjerksteradiel
Ryptsjerk,Tytsjerksteradiel
Noardburgum,Tytsjerksteradiel
Jistrum,Tytsjerksteradiel
Eastermar,Tytsjerksteradiel
Sumar,Tytsjerksteradiel
Garyp,Tytsjerksteradiel
Earnewâld,Tytsjerksteradiel
Suwâld,Tytsjerksteradiel
Feanwâlden,Dantumadiel
De Westereen,Dantumadiel
Harkema,Achtkarspelen
Surhuizum,Achtkarspelen
Augustinusga,Achtkarspelen
Buitenpost,Achtkarspelen
Twijzel,Achtkarspelen
Twijzelerheide,Achtkarspelen
Kootstertille,Achtkarspelen
Drogeham,Achtkarspelen
Kollum,Noardeast-Fryslân
Augsbuurt,Noardeast-Fryslân
Kollumerpomp,Noardeast-Fryslân
Oudwoude,Noardeast-Fryslân
Westergeest,Noardeast-Fryslân
Triemen,Noardeast-Fryslân
Veenklooster,Noardeast-Fryslân
Kollumerzwaag,Noardeast-Fryslân
Zwagerbosch,Noardeast-Fryslân
Roden,Noordenveld
Lieveren,Noordenveld
Roderesch,Noordenveld
Alteveer,Noordenveld
Steenbergen,Noordenveld
Nieuw-Roden,Noordenveld
Nietap,Noordenveld
Leutingewolde,Noordenveld
Foxwolde,Noordenveld
Roderwolde,Noordenveld
Peize,Noordenveld
Norg,Noordenveld
Langelo,Noordenveld
Peest,Noordenveld
Zuidvelde,Noordenveld
Huis ter Heide,Noordenveld
Westervelde,Noordenveld
Veenhuizen,Noordenveld
Een,Noordenveld
Een-West,Noordenveld
Leek,Westerkwartier
Zevenhuizen,Westerkwartier
Midwolde,Westerkwartier
Tolbert,Westerkwartier
Boerakker,Westerkwartier
Marum,Westerkwartier
Nuis,Westerkwartier
Niebert,Westerkwartier
Jonkersvaart,Westerkwartier
De Wilp,Westerkwartier
Assen,Assen
Loon,Assen
Beilen,Midden-Drenthe
Hooghalen,Midden-Drenthe
Hijken,Midden-Drenthe
Oranje,Midden-Drenthe
Spier,Midden-Drenthe
Wijster,Midden-Drenthe
Drijber,Midden-Drenthe
Bovensmilde,Midden-Drenthe
Smilde,Midden-Drenthe
Hoogersmilde,Midden-Drenthe
Westerbork,Midden-Drenthe
Zuidveld,Midden-Drenthe
Zwiggelte,Midden-Drenthe
Eursinge,Midden-Drenthe
Bruntinge,Midden-Drenthe
Mantinge,Midden-Drenthe
Balinge,Midden-Drenthe
Garminge,Midden-Drenthe
Witteveen,Midden-Drenthe
Orvelte,Midden-Drenthe
Elp,Midden-Drenthe
Schoonloo,Aa en Hunze
Grolloo,Aa en Hunze
Vredenheim,Aa en Hunze
Amen,Aa en Hunze
Papenvoort,Aa en Hunze
Marwijksoord,Aa en Hunze
Nooitgedacht,Aa en Hunze
Rolde,Aa en Hunze
Nijlande,Aa en Hunze
Eldersloo,Aa en Hunze
Ekehaar,Aa en Hunze
Geelbroek,Aa en Hunze
Eleveld,Aa en Hunze
Deurze,Aa en Hunze
Balloo,Aa en Hunze
Balloërveld,Aa en Hunze
Gieten,Aa en Hunze
Gasselte,Aa en Hunze
Eext,Aa en Hunze
Eexterzandvoort,Aa en Hunze
Anderen,Aa en Hunze
Gasteren,Aa en Hunze
Anloo,Aa en Hunze
Annen,Aa en Hunze
Schipborg,Aa en Hunze
Zuidlaren,Tynaarlo
De Groeve,Tynaarlo
Zuidlaarderveen,Tynaarlo
Midlaren,Tynaarlo
Noordlaren,Groningen
Vries,Tynaarlo
Tynaarlo,Tynaarlo
Zeegse,Tynaarlo
Oudemolen,Tynaarlo
Taarlo,Tynaarlo
Rhee,Assen
Ter Aard,Assen
Zeijerveld,Assen
Zeijerveen,Assen
Zeijen,Tynaarlo
Ubbena,Assen
De Punt,Tynaarlo
Yde,Tynaarlo
Winde,Tynaarlo
Bunne,Tynaarlo
Donderen,Tynaarlo
Stadskanaal,Stadskanaal
Gieterveen,Aa en Hunze
Nieuwediep,Aa en Hunze
Gasselternijveen,Aa en Hunze
Gasselternijveenschemond,Aa en Hunze
Nieuw-Buinen,Borger-Odoorn
Drouwenermond,Borger-Odoorn
Buinerveen,Borger-Odoorn
Drouwenerveen,Borger-Odoorn
Bronnegerveen,Borger-Odoorn
Bronneger,Borger-Odoorn
Buinen,Borger-Odoorn
Borger,Borger-Odoorn
Drouwen,Borger-Odoorn
Westdorp,Borger-Odoorn
Ellertshaar,Borger-Odoorn
Ees,Borger-Odoorn
Eesergroen,Borger-Odoorn
Vlagtwedde,Westerwolde
Bourtange,Westerwolde
Sellingen,Westerwolde
Ter Apel,Westerwolde
Ter Apelkanaal,Westerwolde
Zandberg,Borger-Odoorn
Veelerveen,Westerwolde
2e Exloërmond,Borger-Odoorn
1e Exloërmond,Borger-Odoorn
Exloërveen,Borger-Odoorn
Musselkanaal,Stadskanaal
Mussel,Stadskanaal
Vledderveen,Stadskanaal
Onstwedde,Stadskanaal
Hoogezand,Midden-Groningen
Kiel-Windeweer,Midden-Groningen
Kropswolde,Midden-Groningen
Foxhol,Midden-Groningen
Westerbroek,Midden-Groningen
Waterhuizen,Midden-Groningen
Sappemeer,Midden-Groningen
Meerstad,Groningen
Harkstede GN,Groningen
Kolham,Midden-Groningen
Scharmer,Midden-Groningen
Harkstede,Midden-Groningen
Woudbloem,Midden-Groningen
Froombosch,Midden-Groningen
Slochteren,Midden-Groningen
Lageland GN,Groningen
Lageland,Midden-Groningen
Luddeweer,Midden-Groningen
Overschild,Midden-Groningen
Schildwolde,Midden-Groningen
Hellum,Midden-Groningen
Siddeburen,Midden-Groningen
Steendam,Midden-Groningen
Borgercompagnie,Veendam
Borgercompagnie,Midden-Groningen
Tripscompagnie,Midden-Groningen
Noordbroek,Midden-Groningen
Zuidbroek,Midden-Groningen
Veendam,Veendam
Wildervank,Veendam
Muntendam,Midden-Groningen
Meeden,Midden-Groningen
Annerveenschekanaal,Aa en Hunze
Oud Annerveen,Aa en Hunze
Spijkerboor,Aa en Hunze
Nieuw Annerveen,Aa en Hunze
Eexterveen,Aa en Hunze
Eexterveenschekanaal,Aa en Hunze
Alteveer,Stadskanaal
Nieuwe Pekela,Pekela
Oude Pekela,Pekela
Winschoten,Oldambt
Heiligerlee,Oldambt
Westerlee,Oldambt
Scheemda,Oldambt
Midwolda,Oldambt
Oostwold,Oldambt
Finsterwolde,Oldambt
Blauwestad,Oldambt
Beerta,Oldambt
Nieuw Beerta,Oldambt
Drieborg,Oldambt
Bad Nieuweschans,Oldambt
Bellingwolde,Westerwolde
Oudeschans,Westerwolde
Blijham,Westerwolde
Wedde,Westerwolde
Vriescheloo,Westerwolde
Groningen,Groningen
Matsloot,Noordenveld
Haren Gn,Groningen
Onnen,Groningen
Glimmen,Groningen
Eelde,Tynaarlo
Paterswolde,Tynaarlo
Eelderwolde,Tynaarlo
Sauwerd,Het Hogeland
Wetsinge,Het Hogeland
Adorp,Het Hogeland
Bedum,Het Hogeland
Noordwolde,Het Hogeland
Zuidwolde,Het Hogeland
Ten Boer,Groningen
Ten Post,Groningen
Winneweer,Groningen
Lellens,Groningen
Woltersum,Groningen
Sint Annen,Groningen
Thesinge,Groningen
Garmerwolde,Groningen
Zuidhorn,Westerkwartier
Noordhorn,Westerkwartier
Briltil,Westerkwartier
Enumatil,Westerkwartier
Oldekerk,Westerkwartier
Niekerk,Westerkwartier
Noordwijk,Westerkwartier
Lucaswolde,Westerkwartier
Lettelbert,Westerkwartier
Oostwold,Westerkwartier
Aduard,Westerkwartier
Den Horn,Westerkwartier
Den Ham,Westerkwartier
Niezijl,Westerkwartier
Grijpskerk,Westerkwartier
Pieterzijl,Westerkwartier
Visvliet,Westerkwartier
Burum,Noardeast-Fryslân
Warfstermolen,Noardeast-Fryslân
Munnekezijl,Noardeast-Fryslân
Grootegast,Westerkwartier
Sebaldeburen,Westerkwartier
Doezum,Westerkwartier
Kornhorn,Westerkwartier
Opende,Westerkwartier
Lutjegast,Westerkwartier
Stroobos,Achtkarspelen
Gerkesklooster,Achtkarspelen
Kommerzijl,Westerkwartier
Oldehove,Westerkwartier
Niehove,Westerkwartier
Lauwerzijl,Westerkwartier
Saaksum,Westerkwartier
Ezinge,Westerkwartier
Feerwerd,Westerkwartier
Garnwerd,Westerkwartier
Appingedam,Appingedam
Krewerd,Delfzijl
Holwierde,Delfzijl
Bierum,Delfzijl
Losdorp,Delfzijl
Godlinze,Delfzijl
Spijk,Delfzijl
Oosterwijtwerd,Loppersum
Leermens,Loppersum
Eenum,Loppersum
Zeerijp,Loppersum
't Zandt,Loppersum
Wirdum,Loppersum
Garrelsweer,Loppersum
Loppersum,Loppersum
Stedum,Loppersum
Westeremden,Loppersum
Garsthuizen,Loppersum
Startenhuizen,Loppersum
Startenhuizen,Het Hogeland
Delfzijl,Delfzijl
Farmsum,Delfzijl
Meedhuizen,Delfzijl
Tjuchem,Midden-Groningen
't Waar,Oldambt
Nieuw Scheemda,Oldambt
Nieuwolda,Oldambt
Wagenborgen,Delfzijl
Woldendorp,Delfzijl
Termunten,Delfzijl
Termunterzijl,Delfzijl
Borgsweer,Delfzijl
Winsum,Het Hogeland
Baflo,Het Hogeland
Tinallinge,Het Hogeland
Rasquert,Het Hogeland
Den Andel,Het Hogeland
Saaxumhuizen,Het Hogeland
Onderdendam,Het Hogeland
Mensingeweer,Het Hogeland
Schouwerzijl,Het Hogeland
Warfhuizen,Het Hogeland
Wehe-den Hoorn,Het Hogeland
Leens,Het Hogeland
Zuurdijk,Het Hogeland
Eenrum,Het Hogeland
Pieterburen,Het Hogeland
Westernieland,Het Hogeland
Ulrum,Het Hogeland
Niekerk,Het Hogeland
Houwerzijl,Het Hogeland
Zoutkamp,Het Hogeland
Vierhuizen,Het Hogeland
Lauwersoog,Het Hogeland
Kloosterburen,Het Hogeland
Hornhuizen,Het Hogeland
Eemshaven,Het Hogeland
Uithuizen,Het Hogeland
Uithuizermeeden,Het Hogeland
Roodeschool,Het Hogeland
Oudeschip,Het Hogeland
Oosternieland,Het Hogeland
Oldenzijl,Het Hogeland
Zijldijk,Loppersum
Usquert,Het Hogeland
Warffum,Het Hogeland
Middelstum,Loppersum
Huizinge,Loppersum
Westerwijtwerd,Loppersum
Toornwerd,Loppersum
Kantens,Het Hogeland
Eppenhuizen,Het Hogeland
Zandeweer,Het Hogeland
Rottum,Het Hogeland
Stitswerd,Het Hogeland
